config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
35,mincut,1,32,False,0.5,500,0.01,0.5,,,0.01,5,1000,60,7,2,3500001,1.0,1.0,12,12,1.0,-0.9469771385192871,3.5208518505096436
35,mincut,1,32,False,0.5,500,0.01,0.5,,,0.01,5,1000,60,7,3,3500002,1.0,1.0,12,12,1.0,-0.9432669281959534,3.4739956855773926
36,mincut,1,32,False,0.5,500,0.01,1.0,,,0.01,5,1000,60,7,1,3600000,1.0,1.0,12,12,1.0,-0.9073180556297302,3.5061020851135254
36,mincut,1,32,False,0.5,500,0.01,1.0,,,0.01,5,1000,60,7,2,3600001,1.0,1.0,12,12,1.0,-0.9081146121025085,3.4873039722442627
36,mincut,1,32,False,0.5,500,0.01,1.0,,,0.01,5,1000,60,7,3,3600002,1.0,1.0,12,12,1.0,-0.9060876965522766,3.560966968536377
37,mincut,1,32,True,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,1,3700000,1.0,1.0,12,12,1.0,-0.9839804768562317,1.4147663116455078
37,mincut,1,32,True,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,2,3700001,1.0,1.0,12,12,1.0,-0.9848630428314209,1.3667058944702148
37,mincut,1,32,True,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,3,3700002,1.0,1.0,12,12,1.0,-0.9843302965164185,1.3679420948028564
38,mincut,1,32,True,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,1,3800000,1.0,1.0,12,12,1.0,-0.9543070793151855,1.385359764099121
38,mincut,1,32,True,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,2,3800001,1.0,1.0,12,12,1.0,-0.9537537097930908,1.3588690757751465
38,mincut,1,32,True,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,3,3800002,1.0,1.0,12,12,1.0,-0.9545449018478394,1.391556978225708
39,mincut,1,32,True,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,1,3900000,1.0,1.0,12,12,1.0,-0.9173218011856079,1.4456241130828857
39,mincut,1,32,True,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,2,3900001,1.0,1.0,12,12,1.0,-0.9130268096923828,1.389836072921753
39,mincut,1,32,True,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,3,3900002,1.0,1.0,12,12,1.0,-0.9185231328010559,1.3649160861968994
40,mincut,1,32,True,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,1,4000000,1.0,1.0,12,12,1.0,-0.9856741428375244,1.3764679431915283
40,mincut,1,32,True,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,2,4000001,1.0,1.0,12,12,1.0,-0.9856993556022644,1.362117052078247
40,mincut,1,32,True,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,3,4000002,1.0,1.0,12,12,1.0,-0.9854626655578613,1.3866691589355469
41,mincut,1,32,True,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,1,4100000,1.0,1.0,12,12,1.0,-0.9563481211662292,1.365339994430542
41,mincut,1,32,True,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,2,4100001,1.0,1.0,12,12,1.0,-0.9554654955863953,1.3958609104156494
41,mincut,1,32,True,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,3,4100002,1.0,1.0,12,12,1.0,-0.9338479042053223,1.3807909488677979
42,mincut,1,32,True,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,1,4200000,1.0,1.0,12,12,1.0,-0.9191426634788513,1.4014158248901367
42,mincut,1,32,True,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,2,4200001,1.0,1.0,12,12,1.0,-0.9018970727920532,1.3756990432739258
42,mincut,1,32,True,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,3,4200002,1.0,1.0,12,12,1.0,-0.8787132501602173,1.4126057624816895
43,mincut,1,32,True,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,1,4300000,1.0,1.0,12,12,1.0,-0.9859557747840881,3.4074008464813232
43,mincut,1,32,True,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,2,4300001,1.0,1.0,12,12,1.0,-0.9859209656715393,3.4503891468048096
43,mincut,1,32,True,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,3,4300002,0.9329481481481482,0.9808268232929167,12,11,0.9166666666666666,-0.9635512828826904,3.4022367000579834
44,mincut,1,32,True,0.0,500,0.005,0.5,,,0.01,5,1000,60,7,1,4400000,1.0,1.0,12,12,1.0,-0.9574377536773682,3.4305639266967773
44,mincut,1,32,True,0.0,500,0.005,0.5,,,0.01,5,1000,60,7,2,4400001,1.0,1.0,12,12,1.0,-0.9576416015625,3.40547513961792
44,mincut,1,32,True,0.0,500,0.005,0.5,,,0.01,5,1000,60,7,3,4400002,1.0,1.0,12,12,1.0,-0.957254946231842,3.463005304336548
45,mincut,1,32,True,0.0,500,0.005,1.0,,,0.01,5,1000,60,7,1,4500000,1.0,1.0,12,12,1.0,-0.9215202927589417,3.35835337638855
45,mincut,1,32,True,0.0,500,0.005,1.0,,,0.01,5,1000,60,7,2,4500001,1.0,1.0,12,12,1.0,-0.9219772815704346,3.4160711765289307
45,mincut,1,32,True,0.0,500,0.005,1.0,,,0.01,5,1000,60,7,3,4500002,1.0,1.0,12,12,1.0,-0.9214482307434082,3.273452043533325
46,mincut,1,32,True,0.0,500,0.01,0.1,,,0.01,5,1000,60,7,1,4600000,1.0,1.0,12,12,1.0,-0.9860667586326599,3.2800440788269043
46,mincut,1,32,True,0.0,500,0.01,0.1,,,0.01,5,1000,60,7,2,4600001,1.0,1.0,12,12,1.0,-0.9860621094703674,3.4224748611450195
46,mincut,1,32,True,0.0,500,0.01,0.1,,,0.01,5,1000,60,7,3,4600002,1.0,1.0,12,12,1.0,-0.9859868288040161,3.360503911972046
47,mincut,1,32,True,0.0,500,0.01,0.5,,,0.01,5,1000,60,7,1,4700000,1.0,1.0,12,12,1.0,-0.9577272534370422,3.4191341400146484
47,mincut,1,32,True,0.0,500,0.01,0.5,,,0.01,5,1000,60,7,2,4700001,1.0,1.0,12,12,1.0,-0.9580556154251099,3.3442091941833496
47,mincut,1,32,True,0.0,500,0.01,0.5,,,0.01,5,1000,60,7,3,4700002,1.0,1.0,12,12,1.0,-0.9579982757568359,3.3866679668426514
48,mincut,1,32,True,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,1,4800000,1.0,1.0,12,12,1.0,-0.9231696724891663,3.384899139404297
48,mincut,1,32,True,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,2,4800001,1.0,1.0,12,12,1.0,-0.9232538938522339,3.4077658653259277
48,mincut,1,32,True,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,3,4800002,1.0,1.0,12,12,1.0,-0.9062865376472473,3.3874669075012207
49,mincut,1,32,True,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,1,4900000,0.79382907901929,0.9219310283783448,12,10,0.8333333333333334,-0.9412379264831543,1.4123330116271973
49,mincut,1,32,True,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,2,4900001,0.905042105263158,0.9726774585027682,12,11,0.9166666666666666,-0.9519076943397522,1.3845901489257812
49,mincut,1,32,True,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,3,4900002,0.3041557818301006,0.5863546007332842,12,4,0.3333333333333333,-0.9014509320259094,1.4146149158477783
50,mincut,1,32,True,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,1,5000000,1.0,1.0,12,12,1.0,-0.9486790299415588,1.3985168933868408
50,mincut,1,32,True,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,2,5000001,1.0,1.0,12,12,1.0,-0.9515141248703003,1.4229271411895752
50,mincut,1,32,True,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,3,5000002,1.0,1.0,12,12,1.0,-0.9508061408996582,1.3972771167755127
51,mincut,1,32,True,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,1,5100000,1.0,1.0,12,12,1.0,-0.9119559526443481,1.4236829280853271
51,mincut,1,32,True,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,2,5100001,1.0,1.0,12,12,1.0,-0.9105411767959595,1.3971009254455566
51,mincut,1,32,True,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,3,5100002,1.0,1.0,12,12,1.0,-0.9117971658706665,1.421180009841919
52,mincut,1,32,True,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,1,5200000,0.3369476320660203,0.5720876605602451,12,4,0.3333333333333333,-0.8990000486373901,1.401127815246582
52,mincut,1,32,True,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,2,5200001,1.0,1.0,12,12,1.0,-0.9824617505073547,1.4617180824279785
52,mincut,1,32,True,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,3,5200002,1.0,1.0,12,12,1.0,-0.9823142886161804,1.3329439163208008
53,mincut,1,32,True,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,1,5300000,1.0,1.0,12,12,1.0,-0.9511505365371704,1.3484363555908203
53,mincut,1,32,True,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,2,5300001,1.0,1.0,12,12,1.0,-0.9499435424804688,1.3518569469451904
53,mincut,1,32,True,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,3,5300002,1.0,1.0,12,12,1.0,-0.9515088796615601,1.3844983577728271
